entityname,subtypename,typename
Qt Creator,Software that uses Qt,Cross-platform software
Qt Creator,Qt (framework),Cross-platform software
Kuzya,Software that uses Qt,Cross-platform software
wxWidgets,WxWidgets,Cross-platform software
WxGlade,Software that uses wxWidgets,Cross-platform software
WxGlade,WxWidgets,Cross-platform software
Philasmicos Entwickler Studio,Software that uses wxWidgets,Cross-platform software
Philasmicos Entwickler Studio,WxWidgets,Cross-platform software
TrueCrypt release history,Software that uses wxWidgets,Cross-platform software
TrueCrypt,Software that uses wxWidgets,Cross-platform software
Pyspread,Software that uses wxWidgets,Cross-platform software
VeraCrypt,Software that uses wxWidgets,Cross-platform software
Rainlendar,Software that uses wxWidgets,Cross-platform software
SOFA Statistics,Software that uses wxPython,Cross-platform software
KDE Platform 4,KDE Platform,Cross-platform software
KVIrc,Software that uses Qt,Cross-platform software
KVIrc,KDE software,Cross-platform software
Freeseer,Software that uses Qt,Cross-platform software
Lift (web framework),Java platform software,Cross-platform software
Jakarta Slide,Java platform software,Cross-platform software
BioFabric,Java platform software,Cross-platform software
OnlineHPC,Java platform software,Cross-platform software
Verax NMS,Java platform software,Cross-platform software
Opera Mini,Symbian software,Cross-platform software
Opera Mini,Java platform software,Cross-platform software
C2Call GmbH,Java platform software,Cross-platform software
PathVisio,Java platform software,Cross-platform software
RSSOwl,Java platform software,Cross-platform software
Statmetrics,Java platform software,Cross-platform software
YaCy,Java platform software,Cross-platform software
Cytoscape,Java platform software,Cross-platform software
BioTapestry,Java platform software,Cross-platform software
BBj,Java platform software,Cross-platform software
BBj,Java development tools,Cross-platform software
FriendCaller,Java platform software,Cross-platform software
MARTHA (layout engine),Java platform software,Cross-platform software
GeoAPI,Java platform software,Cross-platform software
AggreGate Platform,Java platform software,Cross-platform software
Project Looking Glass,Java platform software,Cross-platform software
TuxGuitar,Java platform software,Cross-platform software
Spock (testing framework),Java development tools,Cross-platform software
Gradle,Java development tools,Cross-platform software
JBuilder,Java development tools,Cross-platform software
Resin (software),Web server software programmed in Java,Cross-platform software
Apache Ant,Free software programmed in Java (programming language),Cross-platform software
Apache Ant,Java development tools,Cross-platform software
Apache Ant,Java (programming language) libraries,Cross-platform software
Goalbit,Software that uses Qt,Cross-platform software
Mathematica,Software that uses Qt,Cross-platform software
Quassel IRC,Software that uses Qt,Cross-platform software
Enpass,Software that uses Qt,Cross-platform software
Telegram (software),Software that uses Qt,Cross-platform software
Guitar Pro,Software that uses Qt,Cross-platform software
MEDUSA,Proprietary software that uses Qt,Cross-platform software
Skype,Symbian software,Cross-platform software
Skype,Proprietary software that uses Qt,Cross-platform software
NetFront,Symbian software,Cross-platform software
Adaptxt,Symbian software,Cross-platform software
Mobile soft device,Symbian software,Cross-platform software
Line (application),Symbian software,Cross-platform software
WhatsApp,Symbian software,Cross-platform software
Tencent QQ,Symbian instant messaging clients,Cross-platform software
Google Chrome,Google Chrome,Cross-platform web browsers
MySQLi,SQL data access,Data access technologies
Query language,Query languages,Data management
SQL/PSM,Data-centric programming languages,Data management
SQL/PSM,SQL,Data management
Semantic query,Query languages,Data management
Skyline operator,Query languages,Data management
Skyline operator,SQL,Data management
COMMIT (SQL),SQL,Data management
Rollback (data management),SQL,Data management
SQL injection,SQL,Data management
Commit (data management),SQL,Data management
ADO.NET,SQL data access,Data management
Comparison of ADO and ADO.NET,SQL data access,Data management
PL/Perl,Data-centric programming languages,Data management
PL/Perl,PostgreSQL,Data management
XQuery and XPath Data Model,XML data access,Data modeling
Event (UML),Unified Modeling Language stubs,Data modeling
Event (UML),Unified Modeling Language,Data modeling
Dependency (UML),Unified Modeling Language stubs,Data modeling
Dependency (UML),Unified Modeling Language,Data modeling
Semantics of Business Vocabulary and Business Rules,Unified Modeling Language,Data modeling
EXPRESS (data modeling language),Data modeling languages,Data modeling
YANG,Data modeling languages,Data modeling
Object-role modeling,Data modeling languages,Data modeling
XML database,XML databases,Data modeling
XML database,XML,Data modeling
Meta-Object Facility,Unified Modeling Language,Data modeling
PureXML,XML databases,Data modeling
PureXML,XML software,Data modeling
Fundamental modeling concepts,Data modeling languages,Data modeling
XML schema,XML,Data modeling languages
XML schema,XML-based standards,Data modeling languages
People Finder Interchange Format,XML,Data modeling languages
TREX,XML-based standards,Data modeling languages
XSIL,XML-based standards,Data modeling languages
Music Encoding Initiative,XML-based standards,Data modeling languages
Extensible Forms Description Language,XML markup languages,Data modeling languages
Regular Language description for XML,XML-based standards,Data modeling languages
XML validation,XML,Data modeling languages
RELAX NG,XML,Data modeling languages
RELAX NG,XML-based standards,Data modeling languages
Document Schema Definition Languages,XML,Data modeling languages
Document Schema Definition Languages,XML-based standards,Data modeling languages
Document Structure Description,XML,Data modeling languages
Document Structure Description,XML-based standards,Data modeling languages
Binary Format Description language,XML-based standards,Data modeling languages
Text Encoding Initiative,Text Encoding Initiative,Data modeling languages
Text Encoding Initiative,XML-based standards,Data modeling languages
EbXML,XML markup languages,Data modeling languages
EbXML,XML-based standards,Data modeling languages
SDEP,XML markup languages,Data modeling languages
Schematron,XML-based programming languages,Data modeling languages
Schematron,XML,Data modeling languages
Schematron,XML-based standards,Data modeling languages
XML,XML,Data modeling languages
SPARQL,RDF data access,Data modeling languages
People Finder Interchange Format,XML,Data serialization formats
SDEP,XML markup languages,Data serialization formats
XML,XML,Data serialization formats
Fast Infoset,XML,Data serialization formats
Binary XML,XML,Data serialization formats
JSON,Ajax (programming),Data serialization formats
JSON,JSON,Data serialization formats
JSON Streaming,JSON,Data serialization formats
Web Application Messaging Protocol,JSON,Data serialization formats
Hypertext Application Language,XML markup languages,Data serialization formats
Hypertext Application Language,JSON,Data serialization formats
Hypertext Application Language,XML-based standards,Data serialization formats
BSON,JSON,Data serialization formats
JSON-LD,JSON,Data serialization formats
Smile (data interchange format),JSON,Data serialization formats
JsonML,XML markup languages,Data serialization formats
JsonML,JSON,Data serialization formats
HOCON,JSON,Data serialization formats
WDDX,XML-based standards,Data serialization formats
SOAP,XML-based standards,Data serialization formats
Plotly,JavaScript visualization toolkits,Data visualization software
Highcharts,JavaScript visualization toolkits,Data visualization software
MATLAB,Data-centric programming languages,Data-centric programming languages
DADiSP,Data-centric programming languages,Data-centric programming languages
Wolfram Language,Data-centric programming languages,Data-centric programming languages
Programming with Big Data in R,Data-centric programming languages,Data-centric programming languages
MUMPS,Persistent programming languages,Data-centric programming languages
MUMPS,Data-centric programming languages,Data-centric programming languages
ActiveVFP,Data-centric programming languages,Data-centric programming languages
